Region Name,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,Median_Columns
"Baraga County, MI",38819.0,38119.0,38581.0,40402.0,41624.0,42389.0,44187.0,42180.0,43435.0,48371.0,48846.0,
"Barry County, MI",50062.0,50051.0,55522.0,51040.0,57235.0,57665.0,60818.0,59460.0,64121.0,67703.0,68693.0,
"Bay County, MI",43845.0,43068.0,44242.0,42305.0,46061.0,46256.0,45731.0,45771.0,50576.0,50130.0,55860.0,
"Benzie County, MI",43136.0,45998.0,42675.0,43145.0,48846.0,48127.0,50323.0,54065.0,51905.0,56934.0,64526.0,
"Berrien County, MI",40540.0,40946.0,43324.0,44291.0,44145.0,46588.0,47237.0,48924.0,51509.0,50659.0,56346.0,
"Branch County, MI",37629.0,40462.0,43429.0,43947.0,46371.0,47146.0,48321.0,49387.0,50477.0,52255.0,51757.0,
"Calhoun County, MI",42665.0,39694.0,40847.0,44343.0,45916.0,43864.0,46423.0,46113.0,48413.0,50205.0,52310.0,
"Cass County, MI",42420.0,44626.0,44233.0,42875.0,48030.0,49889.0,51530.0,52063.0,55978.0,55029.0,61180.0,
"Charlevoix County, MI",43530.0,44061.0,44541.0,45629.0,47991.0,48267.0,52944.0,51457.0,54491.0,58831.0,66728.0,
"Cheboygan County, MI",36508.0,37133.0,37610.0,37949.0,41930.0,41036.0,41667.0,43724.0,48589.0,47876.0,50788.0,
"Chippewa County, MI",36253.0,39520.0,40273.0,45416.0,38989.0,42473.0,43683.0,44586.0,47380.0,49610.0,52579.0,
"Clare County, MI",31882.0,31443.0,32274.0,33605.0,34655.0,33250.0,37646.0,36661.0,39394.0,42480.0,43726.0,
"Clinton County, MI",58790.0,58286.0,59008.0,61733.0,60650.0,65051.0,66396.0,66003.0,70967.0,72666.0,76367.0,
"Crawford County, MI",38661.0,37874.0,37169.0,37627.0,41101.0,40907.0,39208.0,47068.0,46930.0,49114.0,49625.0,
"Delta County, MI",39085.0,40982.0,42116.0,41287.0,43338.0,43020.0,43835.0,50802.0,49292.0,48880.0,49414.0,
"Dickinson County, MI",41657.0,44262.0,42025.0,43290.0,45174.0,47616.0,46094.0,48291.0,52348.0,53751.0,59408.0,
